time,pos_x,pos_y,theta,distance,vel_lin,vel_ang
16:21:45,-2.4998986620878965,-2.5000001918202717,0.003164998800136606,2.0858895928869165e-06,0.0,0.0
16:21:46,-2.499897531399446,-2.5000002546865625,0.003206881656398407,1.483077491535467e-06,0.0,0.0
16:21:47,-2.500972469893597,-2.5003450063046038,0.5910141096817764,0.0010165150339810094,0.0,1.0
16:21:48,-2.501777787931652,-2.5016297581222453,1.4032412711922864,0.0014885430952532722,0.0,1.0
16:21:49,-2.501799788223608,-2.5021016158033884,1.6384707288934766,0.0006674304276835462,0.0,0.0
16:21:50,-2.5017968648353155,-2.502144523776067,1.6376752511926524,4.7385188562342296e-05,0.0,0.0
16:21:51,-2.501793653484726,-2.502194724760411,1.6367479238793812,4.776142095522845e-05,0.0,0.0
16:21:52,-2.501789487339339,-2.502243957592793,1.6358345072998102,4.976836314619596e-05,0.0,0.0
16:21:53,-2.5017860179557796,-2.50229233902774,1.6349347690077318,4.6812891130622424e-05,0.0,0.0
16:21:54,-2.5017827503064405,-2.5023380721243758,1.6340821084424755,4.7971028326063024e-05,0.0,0.0
16:21:55,-2.5017795612195917,-2.5023832624809392,1.6332417302261282,4.1899889584897716e-05,0.0,0.0
16:21:56,-2.5017773610224805,-2.5024171315735195,1.6326109923167775,4.305384819038867e-05,0.0,0.0
16:21:57,-2.5008687291219642,-2.5171681209035546,1.6322207714581716,0.00797877908503851,-0.05000000074505806,0.0
16:21:58,-2.499205450072994,-2.544344870293506,1.6317240916864777,0.02552642603567932,-0.05000000074505806,0.0
16:21:59,-2.49776075412987,-2.568123837696571,1.631315031214159,0.02552489593620594,-0.05000000074505806,0.0
16:22:00,-2.4963255685475345,-2.5919020110816215,1.6309283786253774,0.02212023596716572,-0.05000000074505806,0.0
16:22:01,-2.495102624775457,-2.6122827706155407,1.6306138924646334,0.02211935231225959,-0.05000000074505806,0.0
16:22:02,-2.4942907772143856,-2.62586971318976,1.6304126383044015,0.01871550774648572,-0.05000000074505806,0.0
16:22:03,-2.49307810892401,-2.6462497507231606,1.6301227541953534,0.015312175099020124,-0.05000000074505806,0.0
16:22:04,-2.4917708197835364,-2.6683276933729494,1.6298243729119755,0.022116859175419605,-0.05000000074505806,0.0
16:22:05,-2.490470062658324,-2.690405074695125,1.6295413074616882,0.022115921015553718,-0.05000000074505806,0.0
16:22:06,-2.4896726120985524,-2.703991000231627,1.629374576374763,0.015310584578263155,-0.05000000074505806,0.0
16:22:07,-2.4884806374148463,-2.7243694568581387,1.629134412410669,0.01871239791431017,-0.05000000074505806,0.0
16:22:08,-2.487589836376362,-2.739653088640545,1.6289619940890936,0.017010738938444587,-0.05000000074505806,0.0
16:22:09,-2.4864060001742114,-2.760030904986354,1.628741740575891,0.01701038231920602,-0.05000000074505806,0.0
16:22:10,-2.4852266519570816,-2.780408439647125,1.6285322915846205,0.018710797639063515,-0.05000000074505806,0.0
16:22:11,-2.48382471857722,-2.8047256582773095,1.6283178588896265,0.025514130633688424,0.0,0.0
16:22:12,-2.4838240839851813,-2.8047346256720984,1.62814442445037,0.009053448598147452,0.0,0.0
16:22:13,-2.4838233809087384,-2.8047455375305774,1.6279400687461456,1.1010671497989947e-05,0.0,0.0
16:22:14,-2.483822631601239,-2.804757179741227,1.6277216982292246,1.0069369191260133e-05,0.0,0.0
16:22:15,-2.483747702245067,-2.8051909089800606,1.8428743920470776,1.1558513609493206e-05,0.0,1.0
16:22:16,-2.48327535182745,-2.805999371175955,2.316330711649374,0.0008371280695692996,0.0,1.0
16:22:17,-2.482388683942838,-2.80653675062019,2.8232260684831862,0.0009604767095174623,0.0,1.0
16:22:18,-2.4815818298834396,-2.8066131123331055,3.231449916387771,0.0009820325176051956,0.0,0.0
